Fi'l,Mudari,Masdar,Bengali,Baab
فَعَلَ,يَفْعَلُ,الفِعْلُ,করা,فَتَحَ
فَتَحَ,يَفْتَحُ,الفَتْحُ,খোলা,فَتَحَ
مَدَحَ,يَمْدَحُ,المَدْحُ,প্রশংসা করা,فَتَحَ
رَفَعَ,يَرْفَعُ,الرَفْعُ,উঠানো,فَتَحَ
قَطَعَ,يَقْطَعُ,القَطْعُ,কাটা,فَتَحَ
مَنَعَ,يَمْنَعُ,المَنْعُ,নিষেধ করা,فَتَحَ
طَبَخَ,يَطْبَخُ,الطَبْخُ,রান্না করা,فَتَحَ
زَرَعَ,يَزْرَعُ,الزَرْعُ,চাষ করা,فَتَحَ
نَجَحَ,يَنْجَحُ,النَجَاحُ,সফল হওয়া,فَتَحَ
قَرَأَ,يَقْرَأُ,القِرَاءَةُ,পড়া,فَتَحَ
سَأَلَ,يَسْأَلُ,السُّؤَالُ,প্র্রশ্ন করা,فَتَحَ
مَسَحَ,يَمْسَحُ,المَسْحُ,মোছা,فَتَحَ
ذَهَبَ,يَذْهَبُ,الذَهَابُ,যাওয়া,فَتَحَ
بَدَأَ,يَبْدَأُ,البِدَايَةُ,শুরু করা,فَتَحَ
جَعَلَ,يَجْعَلُ,الجَعْلُ,দেয়া / বানানো,فَتَحَ
نَصَحَ,يَنْصَحُ,النَصِيحَةُ,উপদেশ দেওয়া,فَتَحَ
جَمَعَ,يَجْمَعُ,الجَمْعُ,একত্রিত করা,فَتَحَ
ظَهَرَ,يَظْهَرُ,الظُهُورُ,প্রকাশ পাওয়া,فَتَحَ
رَأَى,يَرَى,الرُؤْيَةُ,দেখা,فَتَحَ
وَقَعَ,يَقَعُ,الوُقُوعُ,সংঘটিত হওয়া,فَتَحَ
وَضَعَ,يَضَعُ,الوَضْعُ,রাখা,فَتَحَ
مَلَأَ,يَمْلَأُ,المَلْءُ,পূর্ণ করা,فَتَحَ
دَفَعَ,يَدْفَعُ,الدَفْعُ,প্রদান করা,فَتَحَ
نَشَأَ,يَنْشَأُ,النَشْأَةُ,বেড়ে উঠা,فَتَحَ
خَلَعَ,يَخْلَعُ,الخَلْعُ,খোলাা,فَتَحَ
نَصَرَ,يَنْصُرُ,النَصْرُ,সহায়তা করা,نَصَرَ
طَلَبَ,يَطْلُبُ,الطَلَبُ,খোজ করা/ চাওয়া,نَصَرَ
خَلَقَ,يَخْلُقُ,الخَلْقُ,সৃষ্টি করা,نَصَرَ
شَكَرَ,يَشْكُرُ,الشُكْرُ,কৃতজ্ঞতা প্রকাশ করা,نَصَرَ
تَرَكَ,يَتْرُكُ,التَرْكُ,ত্যাগ করা,نَصَرَ
مَكَثَ,يَمْكُثُ,المَكْثُ,অবস্থান করা,نَصَرَ
نَشَرَ,يَنْشُرُ,النَشْرُ,ছড়িয়ে দেয়া,نَصَرَ
قَتَلَ,يَقْتُلُ,القَتْلُ,হত্যা করা,نَصَرَ
ذَكَرَ,يَذْكُرُ,الذِكْرُ,স্মরণ করা,نَصَرَ
خَرَجَ,يَخْرُجُ,الخُرُوجُ,বের হওয়া,نَصَرَ
سَكَتَ,يَسْكُتُ,السُكُوتُ,চুপ করা,نَصَرَ
سَجَدَ,يَسْجُدُ,السُجُودُ,সিজদা করা,نَصَرَ
دَخَلَ,يَدْخُلُ,الدُخُولُ,প্রবেশ করা,نَصَرَ
بَلَغَ,يَبْلُغُ,البُلُوغُ,পৌঁছানো,نَصَرَ
دَرَسَ,يَدْرُسُ,الدِرَاسَةُ,অধ্যায়ন করা,نَصَرَ
نَظَرَ,يَنْظُرُ,النَظَرُ,দেখা / লক্ষ করা,نَصَرَ
أَمَرَ,يَأْمُرُ,الأَمْرُ,আদেশ করা,نَصَرَ
نَقَصَ,يَنْقُصُ,النَقْصُ,কমানো,نَصَرَ
أَكَلَ,يَأْكُلُ,الأَكْلُ,খাওয়া,نَصَرَ
أَخَذَ,يَأْخُذُ,الأَخْذُ,নেওয়া / গ্রহন করা,نَصَرَ
شَعَرَ,يَشْعُرُ,الشُعُورُ,অনুভব করা,نَصَرَ
حَصَلَ,يَحْصُلُ,الحُصُولُ,অর্জিত হওয়া,نَصَرَ
سَكَنَ,يَسْكُنُ,السَّكَنُ,বসবাস করা,نَصَرَ
عَبَدَ,يَعْبُدُ,العِبَادَةُ,ইবাদত করা,نَصَرَ
قَالَ,يَقُولُ,القَوْلُ,বলা,نَصَرَ
قَامَ,يَقُومُ,القِيَامُ,দাঁড়ানো,نَصَرَ
سَمِعَ,يَسْمَعُ,السَمْعُ,শোনা,سَمِعَ
شَرِبَ,يَشْرَبُ,الشَّرْبُ,পান করা,سَمِعَ
حَمِدَ,يَحْمَدُ,الحَمْدُ,প্রশংসা করা,سَمِعَ
لَبِسَ,يَلْبَسُ,اللُبْسُ,পরিধান করা,سَمِعَ
رَكِبَ,يَرْكَبُ,الرُكُوبُ,সওয়ার হওয়া,سَمِعَ
قَدِمَ,يَقْدَمُ,القُدُومُ,আগমন করা,سَمِعَ
حَفِظَ,يَحْفَظُ,الحِفْظُ,সংরক্ষণ করা,سَمِعَ
ضَحِكَ,يَضْحَكُ,الضَحْكُ,হাসা,سَمِعَ
عَلِمَ,يَعْلَمُ,العِلْمُ,জানা,سَمِعَ
فَهِمَ,يَفْهَمُ,الفَهْمُ,বোঝা,سَمِعَ
غَضِبَ,يَغْضَبُ,الغَضَبُ,রাগান্বিত হওয়া,سَمِعَ
لَعِبَ,يَلْعَبُ,اللَعِبُ,খেলা,سَمِعَ
حَزِنَ,يَحْزَنُ,الحُزْنُ,চিন্তিত / দুঃখিত হওয়া,سَمِعَ
كَرِهَ,يَكْرَهُ,الكَرَاهَةُ,গ্ঘৃণা করা,سَمِعَ
فَرِحَ,يَفْرَحُ,الفَرْحُ,খুশি হওয়া,سَمِعَ
شَهِدَ,يَشْهَدُ,الشَهَادَةُ,সাক্ষ্য দেওয়া,سَمِعَ
حَذِرَ,يَحْذَرُ,الحَذَرُ,সতর্ক হওয়া,سَمِعَ
نَسِيَ,يَنسَى,النِسْيَانُ,ভুলে যাওয়া,سَمِعَ
بَقِيَ,يَبْقَى,البَقَاءُ,বাকি থাকা,سَمِعَ
خَجِلَ,يَخْجَلُ,الخَجَلُ,লজ্জিত হওয়া,سَمِعَ
لَقِيَ,يَلْقَى,اللِقَاءُ,সাক্ষাৎ করা,سَمِعَ
تَعِبَ,يَتْعَبُ,التَعَبُ,ক্লান্ত হওয়া,سَمِعَ
رَغِبَ,يَرْغَبُ,الرَغْبَةُ,আগ্রহী হওয়া,سَمِعَ
قَبِلَ,يَقْبَلُ,القَبْلُ,গ্রহণ করা,سَمِعَ
مَرِضَ,يَمْرَضُ,المَرَضُ,অসুস্থ হওয়া,سَمِعَ
قَرُبَ,يَقْرُبُ,القُرْبُ,নিকটবর্তী হওয়া,كَرُمَ
بَعُدَ,يَبْعُدُ,البُعْدُ,দূরবর্তী হওয়া,كَرُمَ
كَثُرَ,يَكْثُرُ,الكَثْرَةُ,বৃদ্ধি পাওয়া,كَرُمَ
حَسُنَ,يَحْسُنُ,الحُسْنُ,সুন্দর হওয়া,كَرُمَ
كَبُرَ,يَكْبُرُ,الكِبَرُ,বড় হওয়া,كَرُمَ
صَعُبَ,يَصْعُبُ,الصُعُوبَةُ,কঠিন হওয়া,كَرُمَ
طَهُرَ,يَطْهُرُ,الطَهَارَةُ,পবিত্র হওয়া,كَرُمَ
كَرُمَ,يَكْرُمُ,الكَرَمِ,উদার হওয়া,كَرُمَ
ضَرَبَ,يَضْرِبُ,الضَرْبُ,আঘাত করা,ضَرَبَ
غَلَبَ,يَغْلِبُ,الغَلَبَةُ,জয় লাভ করা,ضَرَبَ
قَصَدَ,يَقْصِدُ,القَصْدُ,ইচ্ছা করা,ضَرَبَ
كَذَبَ,يَكْذِبُ,الكَذِبُ,মিথ্যা বলা,ضَرَبَ
غَفَرَ,يَغْفِرُ,الغُفْرَانِ,মাফ করা,ضَرَبَ
عَرَفَ,يَعْرِفُ,المَعْرِفَةُ,জানা,ضَرَبَ
هَلَكَ,يَهْلِكُ,الهَلَاكُ,ধ্বংস হওয়া,ضَرَبَ
صَبَرَ,يَصْبِرُ,الصَبْرُ,ধৈর্য ধারণ করা,ضَرَبَ
غَسَلَ,يَغْسِلُ,الغَسْلُ,ধোয়া,ضَرَبَ
ظَلَمَ,يَظْلِمُ,الظُلْمُ,অত্যাচার করা,ضَرَبَ
جَلَسَ,يَجْلِسُ,الجُلُوسُ,বসা,ضَرَبَ
نَزَلَ,يَنزِلُ,النُزُولُ,নামা,ضَرَبَ
خَتَمَ,يَخْتِمُ,الخَتْمُ,শেষ করা,ضَرَبَ
كَسَبَ,يَكْسِبُ,الكَسْبُ,উপার্জন করা,ضَرَبَ
رَجَعَ,يَرْجِعُ,الرُجُوعُ,ফেরা,ضَرَبَ
حَمَلَ,يَحْمِلُ,الحَمْلُ,বহন করা,ضَرَبَ
فَقَدَ,يَفْقِدُ,الفُقْدَانُ,হারানো,ضَرَبَ
وَجَدَ,يَجِدُ,الوُجُودُ,পাওয়া,ضَرَبَ
وَصَلَ,يَصِلُ,الوَصْلُ,পৌঁছাা,ضَرَبَ
زَادَ,يَزِيدُ,الزِيَاَدَةُ,বৃদ্ধি করা,ضَرَبَ
عَمَلَ,يَعْمَلُ,العَمَلُ,কাজ করা,فَتَحَ
رَقَدَ,يَرْقُدُ,الرُّقُودُ,ঘুমানো,نَصَرَ
حَضَرَ,يَحْضُرُ,الحُضُورُ,উপস্থিত হওয়া,نَصَرَ
صَدَقَ,يَصْدُقُ,الصِّدْقُ,সত্য বলা,ضَرَبَ
سَبَحَ,يَسْبَحُ,السِّبَاحَةُ,সাঁতার কাটা,فَتَحَ
كَتَبَ,يَكْتُبُ,الكِتَابَةُ,লিখা,نَصَرَ
قَلَقَ,يَقْلِقُ,قَلَقَ,উদ্বিগ্ন হওয়া,ضَرَبَ
أَخْرَجَ,يُخْرِجُ,الإِخْرَاجُ,বের করা,الْإِفْعَالْ
أَنْزَلَ,يُنْزِلُ,الإِنْزَالُ,অবতীর্ন করা,الْإِفْعَالْ
أَرْسَلَ,يُرْسِلُ,الإِرْسَالُ,প্রেরণ করা,الْإِفْعَالْ
أَحْضَرَ,يُحْضِرُ,الإِحْضَارُ,উপস্থিত করা,الْإِفْعَالْ
أَنْذَرَ,يُنْذِرُ,الإِنْذَارُ,সতর্ক করা,الْإِفْعَالْ
أَسْرَفَ,يُسْرِفُ,الإِسْرَافُ,অপব্যয় করা,الْإِفْعَالْ
أَنْفَقَ,يُنْفِقُ,الإِنْفَاقُ,ব্যয় করা,الْإِفْعَالْ
أَخْبَرَ,يُخْبِرُ,الإِخْبَارُ,জানানো,الْإِفْعَالْ
أَعْلَنَ,يُعْلِنُ,الإِعْلَانُ,ঘোষণা করা,الْإِفْعَالْ
أَنْشَأَ,يُنْشِأُ,الإِنْشَاءُ,তৈরী করা,الْإِفْعَالْ
أَنْقَذَ,يُنْقِذُ,الإِنْقَاذُ,রক্ষা করা,الْإِفْعَالْ
أَطْعَمَ,يُطْعِمُ,الإِطْعَامُ,খাওয়ানো,الْإِفْعَالْ
أَكْرَمَ,يُكْرِمُ,الإِكْرَامُ,সম্মান করা,الْإِفْعَالْ
أَرْشَدَ,يُرْشِدُ,الإِرْشَادُ,পথ প্রদর্শন করা,الْإِفْعَالْ
أَصْلَحَ,يُصْلِحُ,الإِصْلَاحُ,সংশোধন করা,الْإِفْعَالْ
أَبْصَرَ,يُبْصِرُ,الإِبْصَارُ,দেখা,الْإِفْعَالْ
أَعْجَبَ,يُعْجِبُ,الإِعْجَابُ,অবাক করা,الْإِفْعَالْ
أَهْلَكَ,يُهْلِكُ,الإِهْلَاكُ,ধ্বংস করা,الْإِفْعَالْ
أَعَدَّ,يُعِدُّ,الإِعْدَادُ,প্রস্তুত করা,الْإِفْعَالْ
أَحَبَّ,يُحِبُّ,الإِحْبَابُ,ভালবাসা/পছন্দ করা,الْإِفْعَالْ
أَعْطَى,يُعْطِي,الإِعْطَاءُ,দেওয়া,الْإِفْعَالْ
آمَنَ,يُؤْمِنُ,الإِيمَانُ,বিশ্বাস করা,الْإِفْعَالْ
أَقَامَ,يُقِيمُ,الإِقَامَةُ,প্রতিষ্ঠা করা,الْإِفْعَالْ
أَحَاطَ,يُحِيطُ,الإِحَاطَةُ,বেষ্টন করা,الْإِفْعَالْ
أَضَاءَ,يُضِيءُ,الإِضَاءَةُ,আলোকিত করা,الْإِفْعَالْ
أَزَالَ,يُزِيلُ,الإِزَالَةُ,দূর করা,الْإِفْعَالْ
أَجَابَ,يُجِيبُ,الإِجَابَةُ,উত্তর দেওয়া,الْإِفْعَالْ
قَاتَلَ,يُقَاتِلُ,المُقَاتَلَةُ,লড়াই করা,اَلْمُفَاعَلَةُ
سَاعَدَ,يُسَاعِدُ,المُسَاعَدَةُ,সহায়তা করা,اَلْمُفَاعَلَةُ
شَاهَدَ,يُشَاهِدُ,المُشَاهَدَةُ,দেখা,اَلْمُفَاعَلَةُ
خَالَفَ,يُخَالِفُ,المُخَالَفَةُ,বিরোধিতা করা,اَلْمُفَاعَلَةُ
هَاجَرَ,يُهَاجِرُ,المُهَاجَرَةُ,হিজরত করা,اَلْمُفَاعَلَةُ
سَافَرَ,يُسَافِرُ,المُسَافَرَةُ,ভ্রমণ করা,اَلْمُفَاعَلَةُ
وَاجَهَ,يُوَاجِهُ,المُوَاجَهَةُ,সম্মুখীন হওয়া,اَلْمُفَاعَلَةُ
خَادَعَ,يُخَادِعُ,المُخَادَعَةُ,ধোঁকা দেয়া,اَلْمُفَاعَلَةُ
قَابَلَ,يُقَابِلُ,المُقَابَلَةُ,সাক্ষাৎ করা,اَلْمُفَاعَلَةُ
سَابَقَ,يُسَابِقُ,المُسَابَقَةُ,প্রতিযোগিতা করা,اَلْمُفَاعَلَةُ
جَالَسَ,يُجَالِسُ,المُجَالَسَةُ,উঠাবসা / মেলামেশা করা,اَلْمُفَاعَلَةُ
حَاوَلَ,يُحَاوِلُ,المُحَاوَلَةُ,চেষ্টা করা,اَلْمُفَاعَلَةُ
لَاحَظَ,يُلَاحِظُ,المُلَاحَظَةُ,মন্তব্য করা,اَلْمُفَاعَلَةُ
جَاهَدَ,يُجَاهِدُ,المُجَاهَدَةُ,জিহাদ করা,اَلْمُفَاعَلَةُ
جَادَلَ,يُجَادِلُ,المُجَادَلَةُ,ঝগড়া করা,اَلْمُفَاعَلَةُ
شَاوَرَ,يُشَاوِرُ,المُشَاوَرَةُ,পরামর্শ করা,اَلْمُفَاعَلَةُ
شَابَهَ,يُشَابِهُ,المُشَابَهَةُ,সাদৃশ্য হওয়া,اَلْمُفَاعَلَةُ
نَادَى,يُنَادِي,المُنَادَاةُ,ডাকা,اَلْمُفَاعَلَةُ
غَادَرَ,يُغَادِرُ,المُغَادَرَةُ,ত্যাগ করা,اَلْمُفَاعَلَةُ
بَارَكَ,يُبَارِكُ,المُبَارَكَةُ,বরকত দেওয়া,اَلْمُفَاعَلَةُ
وَافَقَ,يُوَافِقُ,المُوَافَقَةُ,সম্মতি দেওয়া,اَلْمُفَاعَلَةُ
عَانَى,يُعَانِي,المُعَانَاةُ,ভোগা,اَلْمُفَاعَلَةُ
صَرَفَ,يَصْرِفُ,التَّصْرِوفُ,পরিবর্তন করা,التَّفْعِيلُ
عَلَّمَ,يُعَلِّمُ,التَّعْلِيمُ,শিক্ষা দেয়া,التَّفْعِيلُ
دَرَّسَ,يُدَرِّسُ,التَّدْرِيسُ,শিক্ষা দেয়া,التَّفْعِيلُ
صَدَّقَ,يُصَدِّقُ,التَّصْدِيقُ,সত্যায়ন করা,التَّفْعِيلُ
كَذَّبَ,يُكَذِّبُ,التَّكْذِيبُ,মিথ্যা মনে করা,التَّفْعِيلُ
زَيَّنَ,يُزَيِّنُ,التَّزْيِينُ,সাজানো,التَّفْعِيلُ
نَوَّرَ,يُنَوِّرُ,التَّنْوِيرُ,আলোকিত করা,التَّفْعِيلُ
شَجَّعَ,يُشَجِّعُ,التَّشْجِيعُ,প্রেরণা দেয়া,التَّفْعِيلُ
عَذَّبَ,يُعَذِّبُ,التَّعْذِيبُ,শাস্তি দেয়া,التَّفْعِيلُ
ذَكَّرَ,يُذَكِّرُ,التَّذْكِيرُ,স্মরণ করা,التَّفْعِيلُ
نَبَّهَ,يُنَبِّهُ,التَّنْبِيهُ,সতর্ক করা,التَّفْعِيلُ
سَلَّمَ,يُسَلِّمُ,التَّسْلِيمُ,সালাম দেয়া,التَّفْعِيلُ
كَلَّمَ,يُكَلِّمُ,التَّكْلِيمُ,কথা বলা,التَّفْعِيلُ
سَبَّحَ,يُسَبِّحُ,التَّسْبِيحُ,তসবীহ পড়া,التَّفْعِيلُ
حَدَّثَ,يُحَدِّثُ,التَّحْدِيثُ,বর্ণনা করা,التَّفْعِيلُ
بَشَّرَ,يُبَشِّرُ,التَّبْشِيرُ,সুসংবাদ দেয়া,التَّفْعِيلُ
قَرَّرَ,يُقَرِّرُ,التَّقْرِيرُ,সিদ্ধান্ত নেয়া,التَّفْعِيلُ
نَزَّلَ,يُنَزِّلُ,التَّنْزِيلُ,অবতীর্ণ করা,التَّفْعِيلُ
ضَيَّعَ,يُضَيِّعُ,التَّضْيِيعُ,নষ্ট করা,التَّفْعِيلُ
رَجَا,يَرْجُوُ,رَجَاءٌ,প্রত্যাশা করা,نَصَرَ
خَافَ,يَخَافُ,خَوْفٌ,ভয় পাওয়া,نَصَرَ
اِغْتَسَلَ,يَغْتَسِلُ,اَلْاِعْتِسَالُ,পরিবর্তন করা,الاِفْتِعَال
اِعْتَمَدَ,يَعْتَمِدُ,اَلْاِعْتِمَادُ,নির্ভর করা,الاِفْتِعَال
اِجْتَنَبَ,يَجْتَنِبُ,اَلْاِجْتِنَابُ,পরিত্যাগ করা,الاِفْتِعَال
اِسْتَمَعَ,يَسْتَمِعُ,اَلْاِسْتِمَاعُ,মনোযোগ দিয়ে শ্রবণ করা,الاِفْتِعَال
اِنْتَقَلَ,يَنْتَقِلُ,اَلْاِنْتِقَالُ,স্থানান্তরিত হওয়া,الاِفْتِعَال
اِشْتَغَلَ,يَشْتَغِلُ,اَلْاِشْتِغَالُ,নিয়োজিত হওয়া,الاِفْتِعَال
اِخْتَتَمَ,يَخْتَتِمُ,اَلْاِخْتِتَامُ,শেষ করা ,الاِفْتِعَال
اِكْتَسَبَ,يَكْتَسِبُ,اَلْاِكْتِسَابُ,উপার্জন করা,الاِفْتِعَال
اِلْتَمَسَ,يَلْتَمِسُ,اَلْاِلْتِمَاسُ,অনুরোধ করা,الاِفْتِعَال
اِلْتَحَقَ,يَلْتَحِقُ,اَلْاِلْتِحَاقُ,ভর্তি হওয়া,الاِفْتِعَال
اِنْتَبَهَ,يَنْتَبِهُ,اَلْاِنْتِبَاهُ,সতর্ক থাকা,الاِفْتِعَال
اِنْتَشَرَ,يَنْتَشِرُ,اَلْاِنْتِشَارُ,ছড়িয়ে পরা,الاِفْتِعَال
اِخْتَلَفَ,اِخْتَلَفَ,اَلْاِخْتِلَافَ,মতভেদ করা,الاِفْتِعَال
اِتَّخَذَ,يَتَّخِذُ,الّاِتََِّذاُ,গ্রহন করা,الاِفْتِعَال
اِتَّبَعَ,يَتَّبِعُ,الّاِتََِّعاُ,অনুুসরণ করা,الاِفْتِعَال
اِجْتَهَدَ,يَجْتَهِدُ,اَلْاِجْتِهَادُ,প্রচেষ্টা করা,الاِفْتِعَال
اِعْتَقَدَ,يَعْتَقِدُ,اَلْاِعْتِقَادُ,বিশ্বাস করা,الاِفْتِعَال
اِجْتَمَعَ,يَجْتَمِعُ,اَلْاِجْتِمَاعُ,একত্র হওয়া,الاِفْتِعَال
اِبْتَسَمَ,يَبْتَسِمُ,اَلْاِبْتِسَامُ,মুচকি হাসা,الاِفْتِعَال
اِعْتَرَفَ,تَعْتَرِفُ,اَلْاِعْتِرَافُ,স্বীকার করা,الاِفْتِعَال
اِنْتَقَمَ,يَنْتَقِمُ,اَلْاِنْتِقَامُ,প্রতিশোধ নেয়া,الاِفْتِعَال
اِحْتَاجَ,يَحْتَاجُ,اَلْاِحْتِيَاجُ,"প্রয়োজন অনুভব করা, চাওয়া",الاِفْتِعَال
اِرْتَاحَ,يَرْتَاحُ,اَلْاِرْتِيَاحُ,"আরাম পাওয়া, আনন্দ পাওয়া",الاِفْتِعَال
اِخْتَارَ,يَخْتَارُ,اَلْاِخْتِيَارُ,নির্বাচন করা,الاِفْتِعَال
اِهْتَدَى,يَهْتَدِي,اَلْاِهْتِدَاءُ,হেদায়েতপ্রাপ্ত হওয়া,الاِفْتِعَال